[vite] connecting... client:743:9
[vite] connected. client:866:15
[2025-04-06T03:08:01.709Z] [INFO] main.ts executing... logger.ts:61:15
[2025-04-06T03:08:01.709Z] [INFO] main.ts finished initial execution. logger.ts:61:15
[2025-04-06T03:08:01.712Z] [INFO] DOM fully loaded. logger.ts:61:15
[2025-04-06T03:08:01.712Z] [INFO] Initializing game... logger.ts:61:15
[2025-04-06T03:08:01.712Z] [INFO] [Game] Constructing instance... logger.ts:61:15
[2025-04-06T03:08:01.713Z] [INFO] [RendererFacade] Constructing... logger.ts:61:15
[2025-04-06T03:08:01.713Z] [DEBUG] [ScreenBuffer] Instance created. logger.ts:58:15
[2025-04-06T03:08:01.713Z] [DEBUG] [DrawingContext] Instance created. logger.ts:58:15
[2025-04-06T03:08:01.713Z] [INFO] [PerlinNoise] Initializing instance with seed: "haunting beauty_nebula" logger.ts:61:15
[2025-04-06T03:08:01.713Z] [INFO] [PerlinNoise:haunting beauty_nebula] Instance created and PRNG seeded. logger.ts:61:15
[2025-04-06T03:08:01.713Z] [INFO] [NebulaRenderer] Initialized with seed "haunting beauty_nebula" and 3 base colors. logger.ts:61:15
[2025-04-06T03:08:01.714Z] [DEBUG] [StatusBarUpdater] Instance created. logger.ts:58:15
[2025-04-06T03:08:01.715Z] [DEBUG] [StatusBarUpdater.updateMaxChars] Status bar max chars estimated: 1050 logger.ts:58:15
[2025-04-06T03:08:01.716Z] [DEBUG] [SceneRenderer] Instance created. logger.ts:58:15
[2025-04-06T03:08:01.716Z] [INFO] [RendererFacade] All components instantiated. logger.ts:61:15
[2025-04-06T03:08:01.716Z] [DEBUG] [RendererFacade.fitToScreen] Adjusting... logger.ts:58:15
[2025-04-06T03:08:01.716Z] [INFO] [ScreenBuffer.updateDimensions] Dimensions updated: Grid=180x90, CharSize=16.0x16.0px logger.ts:61:15
[2025-04-06T03:08:01.716Z] [INFO] [ScreenBuffer.initBuffers] Initializing buffers for 180x90 grid (16200 cells) logger.ts:61:15
[2025-04-06T03:08:01.717Z] [DEBUG] [ScreenBuffer.initBuffers] Buffers initialized. logger.ts:58:15
[2025-04-06T03:08:01.717Z] [DEBUG] [StatusBarUpdater.updateMaxChars] Status bar max chars estimated: 1047 logger.ts:58:15
[2025-04-06T03:08:01.717Z] [DEBUG] [NebulaRenderer.clearCache] Clearing nebula color cache. logger.ts:58:15
[2025-04-06T03:08:01.717Z] [INFO] [RendererFacade.fitToScreen] Resized complete. Grid: 180x90 logger.ts:61:15
[2025-04-06T03:08:01.717Z] [INFO] [RendererFacade] Construction complete. logger.ts:61:15
[2025-04-06T03:08:01.717Z] [INFO] Player initialized. Start World: [0, 0], Char: @, Credits: 1000, Fuel: 500/500, Cargo Cap: 100 logger.ts:61:15
[2025-04-06T03:08:01.717Z] [DEBUG] [InputManager] Instance created. logger.ts:58:15
[2025-04-06T03:08:01.717Z] [DEBUG] [InputManager] Key to action map built: {} logger.ts:58:15
[2025-04-06T03:08:01.717Z] [INFO] [GameStateManager] Initialized. Initial state: 'hyperspace' logger.ts:61:15
[2025-04-06T03:08:01.717Z] [DEBUG] [ActionProcessor] Instance created. logger.ts:58:15
[2025-04-06T03:08:01.717Z] [DEBUG] [Game] Handling window resize... logger.ts:58:15
[2025-04-06T03:08:01.717Z] [DEBUG] [RendererFacade.fitToScreen] Adjusting... logger.ts:58:15
[2025-04-06T03:08:01.718Z] [DEBUG] [ScreenBuffer.updateDimensions] CharSize updated: 16.0x16.0px (Grid size unchanged) logger.ts:58:15
[2025-04-06T03:08:01.718Z] [DEBUG] [StatusBarUpdater.updateMaxChars] Status bar max chars estimated: 1047 logger.ts:58:15
[2025-04-06T03:08:01.718Z] [DEBUG] [NebulaRenderer.clearCache] Clearing nebula color cache. logger.ts:58:15
[2025-04-06T03:08:01.718Z] [INFO] [RendererFacade.fitToScreen] Resized complete. Grid: 180x90 logger.ts:61:15
[2025-04-06T03:08:01.718Z] [INFO] [Game] Instance constructed. Seed: "haunting beauty", Initial State: 'hyperspace' logger.ts:61:15
[2025-04-06T03:08:01.718Z] [INFO] Game constructed with seed: "haunting beauty" logger.ts:61:15
[2025-04-06T03:08:01.718Z] [INFO] [Game] Starting game loop... logger.ts:61:15
[2025-04-06T03:08:01.718Z] [INFO] [InputManager] Starting input listeners. logger.ts:61:15
[2025-04-06T03:08:01.718Z] [DEBUG] [InputManager] Clearing keys pressed and action states. logger.ts:58:15
[2025-04-06T03:08:01.773Z] [DEBUG] [ScreenBuffer.renderDiff] Completed: 16200 cells drawn in 10.00 ms logger.ts:58:15
[2025-04-06T03:08:01.773Z] [INFO] [Game] Game loop initiated. logger.ts:61:15
[2025-04-06T03:08:01.773Z] [INFO] Game loop started. logger.ts:61:15
[2025-04-06T03:08:01.773Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:01.793Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:01.810Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:01.827Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:01.842Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:01.856Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:01.879Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:01.897Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:01.913Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:01.931Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:01.946Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:01.962Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:01.976Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:01.989Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:02.006Z] [DEBUG] [InputManager] Keyup: Control (Shift: false, Ctrl: false) logger.ts:58:15
[2025-04-06T03:08:02.006Z] [DEBUG] [InputManager] BOOST deactivated. logger.ts:58:15
[2025-04-06T03:08:02.006Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:02.020Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:02.035Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:02.051Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:02.067Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:02.084Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:02.104Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:02.119Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
[2025-04-06T03:08:02.135Z] [INFO] >>> Game._processInput Tick. State: hyperspace. Just Pressed Actions: [None] logger.ts:61:15
